customer_id,age,gender,education_level,marital_status,employment_status,annual_income_INR,credit_score,loan_amount_INR,loan_term_months,interest_rate_percent,existing_loans_count,num_dependents,loan_purpose,state,debt_to_income_ratio,is_default
24,41,Male,High School,Married,Full-time,293175.06,611,254187.01,12,11.94,1,2,Home Improvement,Delhi,0.87,1
25,53,Male,Bachelor,Divorced,Full-time,262393.13,324,293244.41,24,14.12,0,2,Debt Consolidation,Rajasthan,1.12,0
26,32,Male,Bachelor,Widowed,Full-time,479850.41,670,241044.43,48,14.57,2,4,Car,Telangana,0.5,0
27,42,Female,Bachelor,Married,Part-time,704504.15,824,157871.94,48,22.48,2,4,Business,Bihar,0.22,0
28,64,Male,Bachelor,Single,Part-time,469372.52,618,356373.86,36,8.76,0,0,Car,Gujarat,0.76,1
29,45,Female,PhD,Divorced,Full-time,396238.96,529,437828.61,60,11.76,3,2,Car,Gujarat,1.1,1
30,69,Female,High School,Single,Part-time,437062.87,401,392655.48,12,16.14,3,0,Debt Consolidation,Bihar,0.9,1
31,47,Male,Bachelor,Married,Full-time,508931.52,749,32883.46,36,18.87,0,4,Education,Maharashtra,0.06,0
32,62,Female,Bachelor,Married,Full-time,529228.21,677,365598.2,60,17.72,0,3,Debt Consolidation,Rajasthan,0.69,1
33,48,Female,Bachelor,Single,Full-time,1033104.29,502,307819.97,60,23.01,3,4,Debt Consolidation,Uttar Pradesh,0.3,1
34,36,Female,Bachelor,Single,Full-time,810924.13,566,184271.87,60,20.53,0,2,Business,Bihar,0.23,0
35,35,Female,High School,Single,Full-time,804954.82,761,53781.74,48,16.47,2,0,Debt Consolidation,Bihar,0.07,0
36,67,Male,High School,Married,Unemployed,833716.07,664,238636.31,12,10.65,3,2,Business,Karnataka,0.29,0
37,64,Male,Bachelor,Divorced,Full-time,400235.83,403,286368.16,12,14.66,3,4,Home Improvement,Uttar Pradesh,0.72,1
38,23,Female,Bachelor,Single,Full-time,355527.08,410,139314.51,36,18.79,3,4,Business,Uttar Pradesh,0.39,0
39,57,Female,High School,Divorced,Full-time,378625.94,727,373225.75,24,21.25,2,1,Debt Consolidation,Maharashtra,0.99,1
40,27,Male,Master,Single,Self-employed,866901.23,768,370801.94,36,23.32,0,4,Home Improvement,West Bengal,0.43,0
41,41,Female,Bachelor,Married,Self-employed,490561.64,880,296791.59,12,17.29,1,2,Home Improvement,West Bengal,0.61,0
42,29,Male,Bachelor,Single,Self-employed,349728.76,860,112718.5,48,15.96,1,0,Education,Gujarat,0.32,0
43,59,Female,Master,Divorced,Full-time,513800.76,549,223792.45,36,7.3,2,0,Debt Consolidation,Telangana,0.44,1
44,38,Female,High School,Married,Full-time,552278.89,781,322369.29,24,8.23,2,1,Car,Maharashtra,0.58,1
45,24,Male,High School,Married,Full-time,653682.65,630,315774.1,36,9.65,0,2,Debt Consolidation,Rajasthan,0.48,0
46,45,Male,Master,Divorced,Full-time,650190.2,886,180097.09,60,7.93,1,4,Car,Bihar,0.28,0
47,34,Male,Bachelor,Married,Full-time,434363.89,500,194760.93,24,13.81,3,3,Education,West Bengal,0.45,1
48,70,Male,Bachelor,Widowed,Part-time,737131.28,753,177518.4,60,12.73,2,0,Debt Consolidation,Maharashtra,0.24,0
49,29,Female,Master,Married,Self-employed,472161.29,803,221711.16,48,17.84,1,2,Education,Maharashtra,0.47,0
50,46,Male,Master,Divorced,Full-time,568744.73,845,201331.08,12,16.11,3,1,Car,Uttar Pradesh,0.35,0
51,22,Female,PhD,Married,Self-employed,737354.81,410,183106.98,36,17.13,3,3,Business,Bihar,0.25,1
52,40,Male,Bachelor,Single,Full-time,471635.72,843,236238.23,36,15.02,0,2,Debt Consolidation,Delhi,0.5,0
53,48,Male,Bachelor,Married,Part-time,486129.72,508,253999.16,60,11.72,2,4,Home Improvement,Bihar,0.52,0
54,67,Female,Bachelor,Single,Part-time,718333.61,332,358705.28,60,23.2,3,0,Home Improvement,Bihar,0.5,0
55,27,Male,High School,Married,Part-time,428453.36,854,71872.77,12,8.47,2,4,Education,West Bengal,0.17,0
56,64,Male,Bachelor,Married,Part-time,523041.6,406,371926.33,36,22.96,1,1,Business,Uttar Pradesh,0.71,0
57,28,Male,High School,Married,Full-time,711148.44,564,175268.43,12,12.29,1,0,Home Improvement,Rajasthan,0.25,0
58,67,Male,PhD,Single,Full-time,1010818.49,525,436050.67,60,15.72,2,3,Home Improvement,Bihar,0.43,0
59,55,Female,Bachelor,Single,Full-time,721080.9,786,317319.7,60,8.85,3,0,Debt Consolidation,Maharashtra,0.44,0
60,34,Female,Bachelor,Married,Full-time,694527.95,478,304733.82,24,8.21,3,4,Home Improvement,Bihar,0.44,0
61,37,Male,Bachelor,Widowed,Unemployed,706160.32,521,239598.53,60,14.3,1,2,Car,Telangana,0.34,0
62,56,Male,High School,Single,Part-time,385361.95,669,456302.41,60,19.61,3,2,Education,Uttar Pradesh,1.18,0
63,70,Male,High School,Married,Unemployed,623119.35,466,246939.49,12,11.58,3,2,Home Improvement,West Bengal,0.4,1
64,60,Female,Bachelor,Married,Full-time,594046.7,852,401169.74,24,16.56,1,1,Debt Consolidation,Uttar Pradesh,0.68,0
65,24,Female,High School,Married,Full-time,664316.91,599,192546.71,24,11.74,0,1,Car,Uttar Pradesh,0.29,0
66,22,Female,Bachelor,Single,Unemployed,623301.61,680,321659.37,36,13.61,1,2,Home Improvement,Rajasthan,0.52,0
67,26,Female,Master,Married,Full-time,675939.94,334,439818.08,48,22.41,2,3,Education,Maharashtra,0.65,0
68,62,Male,Master,Single,Part-time,537706.56,706,165202.65,36,21.55,0,4,Education,Karnataka,0.31,0
69,24,Male,Bachelor,Widowed,Full-time,611721.78,801,299126.02,36,15.77,2,3,Education,Tamil Nadu,0.49,0
70,49,Male,High School,Single,Full-time,354434.29,613,179362.51,36,11.05,0,2,Home Improvement,Uttar Pradesh,0.51,0
71,38,Female,Master,Single,Full-time,536018.54,400,292966.26,24,10.28,0,4,Car,Uttar Pradesh,0.55,1
72,46,Male,Master,Single,Full-time,878166.71,868,439398.85,12,23.22,1,1,Business,Bihar,0.5,0
73,64,Female,High School,Single,Self-employed,663761.67,514,156658.09,60,10.45,1,0,Education,Delhi,0.24,0
74,54,Female,Master,Married,Part-time,595815.79,875,265600.8,24,20.74,2,0,Car,Maharashtra,0.45,0
75,30,Male,High School,Single,Full-time,979224.66,361,166552.87,60,13.27,1,4,Debt Consolidation,Maharashtra,0.17,1
76,56,Male,Master,Single,Full-time,327833,668,237071.87,60,23.76,0,3,Debt Consolidation,Maharashtra,0.72,0
77,34,Male,PhD,Married,Full-time,378108.89,667,312122.64,48,13.26,1,4,Car,Maharashtra,0.83,0
78,51,Female,High School,Single,Self-employed,942542.28,873,220183.17,36,12.98,2,3,Debt Consolidation,Bihar,0.23,0
79,68,Female,Master,Single,Full-time,609192.19,393,407391.4,48,17.84,0,3,Debt Consolidation,Bihar,0.67,0
80,35,Male,Bachelor,Divorced,Full-time,551483.39,768,298334.36,36,23.35,2,0,Education,Bihar,0.54,0
81,28,Male,PhD,Married,Unemployed,360159.13,325,117658.84,24,23.6,3,1,Home Improvement,Maharashtra,0.33,1
82,34,Female,Bachelor,Divorced,Full-time,689539.25,734,281979.45,60,19.02,1,2,Home Improvement,Bihar,0.41,0
83,43,Male,Master,Divorced,Part-time,708891.97,420,396111.79,48,19.83,0,1,Home Improvement,Bihar,0.56,0
84,60,Female,High School,Married,Part-time,381101.13,349,304241.42,24,16.58,2,2,Home Improvement,Telangana,0.8,0
85,41,Female,Bachelor,Single,Full-time,571944.88,335,276076.1,24,19.85,1,0,Car,Uttar Pradesh,0.48,0
86,36,Male,High School,Married,Full-time,532896.83,709,220246.8,36,21.62,1,2,Education,Uttar Pradesh,0.41,0
87,65,Male,PhD,Divorced,Unemployed,651195.43,588,240297.33,60,15.26,2,3,Car,Bihar,0.37,1
88,38,Male,Master,Married,Full-time,376149.95,678,251084.17,36,17.54,0,4,Debt Consolidation,Bihar,0.67,0
89,67,Male,Master,Married,Full-time,850389.49,399,5406.08,36,16.13,2,2,Education,Telangana,0.01,0
90,44,Female,PhD,Single,Part-time,783164.76,623,296369.85,24,16.56,1,1,Business,Maharashtra,0.38,0
91,46,Female,High School,Divorced,Full-time,527364.89,628,349669.78,36,22.13,2,0,Home Improvement,Tamil Nadu,0.66,0
92,45,Female,Bachelor,Married,Full-time,556716.26,520,175207.03,12,13.05,3,0,Debt Consolidation,Bihar,0.31,0
93,65,Male,High School,Widowed,Full-time,572715.57,866,273248.36,60,10.54,1,4,Home Improvement,West Bengal,0.48,0
94,61,Female,High School,Single,Full-time,444338.29,409,285361.16,36,14.76,0,3,Home Improvement,Bihar,0.64,1
95,49,Male,High School,Single,Full-time,511314.12,448,331029.72,36,10.54,3,3,Home Improvement,Uttar Pradesh,0.65,0
96,35,Male,Bachelor,Single,Full-time,545945.93,705,251234.34,48,15.47,2,0,Business,Bihar,0.46,0
97,65,Male,High School,Married,Self-employed,922573.67,709,303963.69,60,22.36,0,3,Debt Consolidation,Karnataka,0.33,0
98,21,Male,High School,Single,Full-time,789323.66,428,133840.46,60,17.5,3,4,Home Improvement,Maharashtra,0.17,0
99,45,Male,High School,Single,Unemployed,786930.94,783,148574.37,36,21.54,2,0,Home Improvement,West Bengal,0.19,0
100,27,Male,High School,Widowed,Full-time,673985.12,407,293114.7,12,9.83,3,3,Education,Rajasthan,0.43,0
101,29,Female,PhD,Single,Full-time,376534.6,688,227040.58,48,22.31,1,2,Home Improvement,Uttar Pradesh,0.6,1
102,44,Male,Master,Divorced,Unemployed,591701.78,724,91928.91,12,17.23,0,2,Education,Bihar,0.16,0
103,21,Female,PhD,Single,Self-employed,794097.69,746,284749.68,36,7.54,3,3,Debt Consolidation,West Bengal,0.36,0
104,64,Female,Bachelor,Divorced,Self-employed,348347.07,367,122524.8,60,17.76,1,2,Debt Consolidation,Bihar,0.35,0
105,28,Male,High School,Married,Unemployed,727310.64,365,520261.07,60,23.17,2,4,Debt Consolidation,Maharashtra,0.72,1
106,44,Male,Master,Divorced,Self-employed,1064521.85,864,32387.25,12,8.35,1,1,Education,Maharashtra,0.03,0
107,31,Male,Bachelor,Divorced,Full-time,812363.33,803,255267.82,24,16.9,2,4,Business,Bihar,0.31,0
108,37,Female,High School,Single,Full-time,882805.83,803,138385.16,36,22.56,0,4,Business,Telangana,0.16,0
109,28,Male,High School,Single,Full-time,643667.75,620,341586.86,60,7.16,1,3,Home Improvement,Telangana,0.53,0
110,55,Female,High School,Single,Full-time,793586.39,879,209711.58,24,17.73,1,4,Debt Consolidation,Maharashtra,0.26,0
111,55,Male,High School,Married,Full-time,456429.36,746,351283.28,60,15.07,2,3,Car,Bihar,0.77,0
112,53,Male,Bachelor,Divorced,Full-time,759172.76,873,326733.74,60,12.9,3,0,Home Improvement,Bihar,0.43,0
113,25,Female,Bachelor,Married,Unemployed,730877.63,509,143224.79,24,17.67,2,3,Business,Bihar,0.2,1
114,62,Female,High School,Married,Full-time,657982.23,669,177266.81,12,7.9,3,3,Business,Bihar,0.27,0
115,59,Male,High School,Single,Part-time,863201.48,863,215548.04,36,19.8,2,0,Debt Consolidation,Gujarat,0.25,0
116,61,Female,Master,Divorced,Full-time,492243.03,757,243246.86,24,7.08,0,1,Education,Uttar Pradesh,0.49,0
117,48,Female,High School,Widowed,Full-time,562588.5,876,230354.62,24,12.22,3,0,Home Improvement,West Bengal,0.41,0
118,27,Female,Bachelor,Single,Full-time,619092.41,462,322811.08,60,15.57,1,3,Education,Bihar,0.52,0
119,29,Female,Master,Married,Full-time,394077.81,631,273395.2,24,13.41,3,2,Business,Bihar,0.69,0
120,28,Female,High School,Single,Part-time,645386.39,649,188735,36,12.23,2,3,Debt Consolidation,Rajasthan,0.29,0
121,32,Male,High School,Married,Part-time,256213.92,767,158754.72,12,21.12,2,0,Business,Tamil Nadu,0.62,0
122,54,Male,Bachelor,Married,Unemployed,809390.91,725,168410.59,12,22.89,3,3,Debt Consolidation,Bihar,0.21,0
123,53,Female,Bachelor,Single,Full-time,609327.47,626,282999.3,12,21.85,1,0,Car,Telangana,0.46,0
124,68,Male,Bachelor,Married,Self-employed,495821.42,405,230692.76,36,15.88,0,4,Education,Tamil Nadu,0.47,0
125,43,Male,Master,Single,Part-time,433125.28,554,458031.43,60,22.03,1,1,Home Improvement,West Bengal,1.06,0
126,44,Female,High School,Married,Self-employed,553084.19,657,249975.67,36,22.65,3,1,Debt Consolidation,Bihar,0.45,0
127,57,Male,Bachelor,Married,Full-time,737651.94,743,268873.04,24,13.96,2,0,Car,Uttar Pradesh,0.36,0
128,55,Female,Bachelor,Single,Full-time,709547.8,412,69896.38,48,11.82,1,1,Car,Karnataka,0.1,1
129,64,Female,High School,Married,Full-time,458892.41,329,116194.05,48,8.67,2,2,Education,Maharashtra,0.25,0
130,60,Male,Bachelor,Married,Full-time,430792.07,823,137859.86,48,15.14,2,2,Debt Consolidation,Tamil Nadu,0.32,0
131,42,Female,High School,Single,Part-time,731379.74,345,196696.93,12,23.09,1,1,Home Improvement,Tamil Nadu,0.27,0
132,47,Female,Bachelor,Single,Full-time,455530.52,470,101776.28,36,16.54,3,0,Home Improvement,Bihar,0.22,0
133,55,Female,High School,Married,Full-time,611981.95,429,134507.07,36,18.35,1,2,Home Improvement,Karnataka,0.22,1
134,21,Female,Bachelor,Widowed,Full-time,624750.93,652,316493.73,12,8.92,0,1,Business,Bihar,0.51,0
135,55,Female,Bachelor,Single,Full-time,662412.43,502,164013.75,24,9.44,2,3,Business,Maharashtra,0.25,0
136,57,Male,Master,Single,Unemployed,771654.09,525,245898.74,48,14.9,2,2,Debt Consolidation,Bihar,0.32,0
137,67,Male,High School,Single,Full-time,347407.41,379,309214.03,48,23.17,3,4,Home Improvement,Delhi,0.89,0
138,34,Female,Bachelor,Married,Full-time,217768.13,609,344661.99,12,13.13,2,2,Car,Rajasthan,1.58,0
139,23,Female,Bachelor,Single,Full-time,486510.54,334,279252.41,48,21.92,2,1,Home Improvement,Karnataka,0.57,0
140,21,Male,Master,Single,Full-time,960305.68,863,285274.12,60,9.04,2,1,Debt Consolidation,Uttar Pradesh,0.3,0
141,25,Female,Bachelor,Married,Full-time,1004434.82,460,347727.7,36,17.49,1,1,Home Improvement,Maharashtra,0.35,1
142,46,Male,Bachelor,Married,Full-time,966235.43,895,291426.58,48,17.21,2,0,Education,Gujarat,0.3,0
143,34,Female,Master,Single,Full-time,561403.73,734,353542.54,48,21.62,1,0,Home Improvement,Uttar Pradesh,0.63,0
144,59,Female,Master,Married,Full-time,243576.98,837,35660.75,60,7.06,3,3,Car,Bihar,0.15,0
145,47,Female,Bachelor,Married,Full-time,131392.18,524,241632.04,24,10.23,0,3,Debt Consolidation,Tamil Nadu,1.84,1
146,29,Female,Bachelor,Single,Part-time,477192.37,745,255568.75,24,10.73,2,2,Debt Consolidation,Uttar Pradesh,0.54,0
147,35,Female,Master,Single,Unemployed,560385.27,616,238211.57,60,23.15,0,1,Car,Karnataka,0.43,1
148,35,Female,PhD,Divorced,Unemployed,860125.08,713,262320.05,24,9.61,1,3,Debt Consolidation,Gujarat,0.3,0
149,46,Female,Master,Single,Full-time,773561.09,394,209166.73,12,7.63,3,1,Home Improvement,Karnataka,0.27,1
150,62,Male,Bachelor,Married,Full-time,645481.02,524,328897.75,60,16.09,3,2,Debt Consolidation,Tamil Nadu,0.51,0
151,33,Male,High School,Divorced,Full-time,422031.05,852,196443.13,36,15.99,1,0,Home Improvement,Telangana,0.47,0
152,52,Male,Bachelor,Single,Full-time,407844.09,365,228225.7,36,21.35,0,3,Debt Consolidation,Maharashtra,0.56,0
153,59,Female,Master,Single,Unemployed,650825.54,696,394403.77,36,23.13,2,4,Home Improvement,Bihar,0.61,1
154,69,Female,Bachelor,Married,Part-time,739410.2,509,380443.9,48,16.16,1,4,Home Improvement,Maharashtra,0.51,0
155,52,Female,Bachelor,Divorced,Part-time,678376.25,773,265763.44,60,22.81,1,4,Car,Rajasthan,0.39,0
156,24,Female,Master,Divorced,Full-time,393080.41,870,186311.18,60,19.33,1,4,Car,Bihar,0.47,0
157,50,Female,Bachelor,Married,Part-time,730133.53,789,86572.7,24,11.5,1,4,Business,Karnataka,0.12,0
158,57,Female,Master,Single,Part-time,685182.19,479,236864.94,60,22.78,1,4,Car,Delhi,0.35,0
159,43,Female,Bachelor,Married,Self-employed,385866.72,823,300817.94,60,18.35,3,4,Home Improvement,Bihar,0.78,0
160,59,Male,Bachelor,Married,Full-time,443135.81,758,177883.85,24,14.04,1,3,Home Improvement,Rajasthan,0.4,0
161,65,Female,Bachelor,Married,Part-time,737699.19,367,250592.87,60,18.56,3,4,Debt Consolidation,West Bengal,0.34,1
162,35,Male,Master,Single,Full-time,553098.49,628,215156.1,60,13.82,0,4,Debt Consolidation,Gujarat,0.39,1
163,63,Male,High School,Single,Full-time,917829.46,501,77780.51,12,8.94,2,2,Business,Uttar Pradesh,0.08,0
164,49,Female,High School,Married,Full-time,700225.86,774,261716.62,24,19.22,3,3,Home Improvement,Bihar,0.37,0
165,56,Female,PhD,Married,Full-time,502673.76,817,293508.98,12,21.01,2,2,Business,Bihar,0.58,0
166,33,Male,High School,Single,Part-time,597958.88,314,265941.94,48,19.39,2,1,Home Improvement,Telangana,0.44,0
167,52,Male,Bachelor,Single,Full-time,612676.68,341,411249.78,24,10.89,2,4,Car,Bihar,0.67,1
168,27,Female,Bachelor,Divorced,Full-time,454321.94,842,217813.29,60,23.26,3,0,Debt Consolidation,Gujarat,0.48,0
169,42,Female,Bachelor,Married,Part-time,417482.36,588,209868.37,60,7.43,3,4,Business,West Bengal,0.5,0
170,48,Male,Bachelor,Single,Full-time,740277.98,832,466646.02,12,12.66,3,4,Education,Bihar,0.63,0
171,22,Female,High School,Single,Full-time,769054.66,543,125125.7,12,11.42,0,2,Home Improvement,Tamil Nadu,0.16,0
172,62,Female,Bachelor,Single,Full-time,720756.29,866,188017.97,48,7.82,3,1,Car,Karnataka,0.26,0
173,65,Female,Bachelor,Divorced,Part-time,903063.62,897,286098.33,48,13.9,0,2,Education,Karnataka,0.32,0
174,26,Male,Bachelor,Married,Full-time,491645.35,473,362527.1,60,17.59,3,3,Car,Bihar,0.74,1
175,48,Male,High School,Married,Unemployed,934854.15,833,343483.57,36,22,3,1,Car,Telangana,0.37,0
176,48,Male,Bachelor,Married,Full-time,419815.78,808,146011.93,48,23.82,2,1,Home Improvement,Uttar Pradesh,0.35,0
177,64,Female,High School,Single,Part-time,397462.89,543,412764.52,60,20.74,1,1,Car,Delhi,1.04,0
178,64,Female,High School,Divorced,Unemployed,248008.22,359,296406.03,48,14.97,2,2,Business,Maharashtra,1.2,1
179,40,Male,High School,Married,Full-time,510840.94,403,168062.97,24,19.3,3,4,Education,Karnataka,0.33,0
180,50,Male,High School,Single,Full-time,499255.53,602,176479.95,12,21.34,1,4,Car,Bihar,0.35,0
181,31,Male,Master,Single,Full-time,705187.46,376,257154.67,60,14.91,1,4,Car,Bihar,0.36,0
182,48,Female,High School,Married,Full-time,648778.19,317,465232.39,48,20.35,0,4,Debt Consolidation,Bihar,0.72,1
183,45,Male,PhD,Divorced,Part-time,361405.33,833,271244.81,12,15.21,1,4,Debt Consolidation,Uttar Pradesh,0.75,0
184,59,Male,PhD,Single,Full-time,521454.75,483,464316.15,36,13.57,0,3,Business,Rajasthan,0.89,1
185,53,Female,Bachelor,Divorced,Full-time,525707.6,849,337808.74,48,15.94,2,0,Debt Consolidation,West Bengal,0.64,0
186,21,Female,High School,Married,Part-time,244803.55,580,123770.15,60,18.49,0,1,Car,Bihar,0.51,0
187,47,Female,Bachelor,Single,Self-employed,403810.65,587,390751.04,24,19.36,3,0,Car,Bihar,0.97,0
188,33,Male,Master,Single,Part-time,445837.27,824,155584.86,12,13.06,1,3,Education,Bihar,0.35,0
189,61,Female,Bachelor,Single,Self-employed,886725,773,188488.82,12,16.71,3,4,Debt Consolidation,Rajasthan,0.21,0
190,23,Female,High School,Married,Full-time,638290.14,566,277575.31,24,22.47,1,3,Home Improvement,Maharashtra,0.43,0
191,59,Male,Bachelor,Single,Full-time,732433.75,656,247156.48,60,23.6,1,3,Debt Consolidation,Rajasthan,0.34,0
192,26,Female,Master,Single,Self-employed,300272.9,300,339341.44,36,10.86,2,0,Car,Maharashtra,1.13,1
193,28,Male,Master,Married,Full-time,838842.9,326,300172.19,24,10.28,0,1,Education,Karnataka,0.36,1
194,47,Male,High School,Married,Part-time,860220.41,847,238207.17,36,18.5,2,2,Debt Consolidation,Tamil Nadu,0.28,0
195,29,Female,Bachelor,Single,Full-time,200331.01,459,419892.62,60,14.05,0,2,Education,Uttar Pradesh,2.1,1
196,57,Female,High School,Married,Unemployed,458936.66,698,202546.14,48,7.41,2,1,Debt Consolidation,Rajasthan,0.44,0
197,53,Female,High School,Married,Full-time,699153.11,842,149997.54,48,12.9,2,4,Business,Uttar Pradesh,0.21,0
198,62,Female,Master,Married,Full-time,728877.69,426,296329.91,60,20.71,1,3,Car,West Bengal,0.41,0
199,64,Female,High School,Divorced,Full-time,464301.05,509,248181.66,36,20.56,2,4,Car,Maharashtra,0.53,0
200,44,Female,High School,Single,Full-time,538900.11,449,274537.63,24,15.41,2,3,Home Improvement,Rajasthan,0.51,1
201,35,Male,High School,Divorced,Full-time,480523.79,330,323816.14,60,15.03,0,2,Car,Telangana,0.67,0
202,52,Male,Master,Married,Full-time,622083.61,601,231490.72,60,16.85,2,1,Home Improvement,Maharashtra,0.37,1
203,52,Female,Master,Married,Unemployed,839435.71,556,435860.89,48,10.73,1,0,Car,Bihar,0.52,0
204,44,Male,Bachelor,Married,Full-time,445791.57,356,276498.65,24,15.94,2,0,Debt Consolidation,Telangana,0.62,1
205,61,Female,Master,Married,Part-time,800164.1,308,204960.64,48,7.19,3,1,Debt Consolidation,West Bengal,0.26,0
206,69,Male,High School,Single,Full-time,443665.59,304,308957.92,36,15.08,3,2,Business,Gujarat,0.7,1
207,69,Male,Bachelor,Married,Part-time,430474.56,413,241451.87,36,12.71,0,3,Debt Consolidation,West Bengal,0.56,1
208,32,Male,Bachelor,Married,Full-time,763718.92,504,261329.68,12,18.47,0,0,Education,Maharashtra,0.34,0
209,59,Female,High School,Married,Part-time,784387.28,323,139386.76,60,17.85,3,2,Debt Consolidation,Bihar,0.18,1
210,22,Male,Bachelor,Single,Part-time,770281.99,792,150720.65,24,13.47,2,1,Home Improvement,West Bengal,0.2,0
211,23,Female,PhD,Divorced,Self-employed,336840.52,705,356159.03,24,7.12,2,4,Business,Karnataka,1.06,0
212,69,Male,High School,Married,Unemployed,506809.8,402,126564.25,48,11.29,0,2,Education,Telangana,0.25,0
213,57,Male,High School,Single,Full-time,764597.72,359,237762.38,48,17.77,1,2,Education,Bihar,0.31,1
214,69,Male,High School,Married,Unemployed,608308.37,385,282585.06,24,8.23,2,4,Car,Tamil Nadu,0.46,0
215,37,Male,High School,Married,Full-time,385261.43,671,391302.6,48,8.83,3,2,Home Improvement,Bihar,1.02,1
216,69,Male,PhD,Married,Full-time,691663.59,895,201872.24,12,18,1,0,Debt Consolidation,West Bengal,0.29,0
217,22,Female,Bachelor,Married,Full-time,457038.55,501,325889.95,60,19.85,1,0,Debt Consolidation,Tamil Nadu,0.71,0
218,22,Female,Bachelor,Divorced,Part-time,958904.97,388,237947.53,12,12.47,2,0,Car,Telangana,0.25,1
219,48,Male,Master,Single,Full-time,908968.29,736,31988.01,36,15.32,1,2,Debt Consolidation,Rajasthan,0.04,0
220,43,Male,High School,Married,Full-time,720819.49,419,254607.58,24,23.08,0,2,Education,Karnataka,0.35,1
221,57,Male,Bachelor,Divorced,Full-time,872201.34,455,243309.25,12,23.07,1,2,Debt Consolidation,Bihar,0.28,0
222,52,Male,Bachelor,Divorced,Full-time,612958.27,698,292512.17,12,12.23,0,1,Debt Consolidation,Bihar,0.48,0
223,53,Female,Bachelor,Married,Full-time,753087.5,487,185735.03,48,20.77,2,4,Education,Bihar,0.25,0
224,21,Male,PhD,Divorced,Part-time,895544.06,351,196397.51,48,17.1,1,2,Home Improvement,Uttar Pradesh,0.22,1
225,39,Female,Master,Single,Part-time,649099.74,830,370106.95,48,23.58,3,4,Home Improvement,Bihar,0.57,0
226,22,Male,Bachelor,Divorced,Part-time,548962.57,779,216385.34,36,15.12,3,3,Education,Bihar,0.39,0
227,64,Female,Master,Single,Part-time,259075.61,886,58656.96,12,20.17,0,0,Education,Bihar,0.23,0
228,46,Male,High School,Single,Part-time,583373.29,529,299044.44,60,20.06,0,1,Business,Bihar,0.51,0
229,52,Male,High School,Single,Full-time,764684.64,780,336256.46,48,15.46,2,4,Business,Uttar Pradesh,0.44,0
230,26,Female,High School,Married,Full-time,789126.69,429,335376.36,36,20.53,1,0,Debt Consolidation,Tamil Nadu,0.42,0
